Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1715, 13.8511, 42.2384, -4.63523, 12739, 1684951307, 817746, 3757, 0, 255, 0, 49393, FIRST_ECHO, 880, 2525, 0, 0, 0, 17820
10.10.10.66, 1715, 16.5256, 32.3205, -4.78993, 13389, 1684951307, 817746, 4525, 0, 255, 0, 49201, FIRST_ECHO, 880, 2221, 0, 34, 149, 6500
10.10.10.66, 1715, 17.5294, 29.2094, -4.83003, 13523, 1684951307, 817746, 5761, 0, 255, 0, 49265, FIRST_ECHO, 880, 2125, 0, 34, 144, 1340
10.10.10.66, 1715, 19.3923, 25.7831, -4.87014, 13655, 1684951307, 817746, 2827, 0, 255, 0, 49201, FIRST_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1715, 13.3648, 25.7831, -4.87014, 13655, 1684951307, 817746, 467, 0, 255, 0, 49202, SECOND_ECHO, 880, 2021, 0, 34, 138, 1320
10.10.10.66, 1715, 15.8794, 16.5642, -4.95036, 13963, 1684951307, 817746, 891, 0, 255, 0, 49201, FIRST_ECHO, 880, 1749, 0, 33, 120, 3080
10.10.10.66, 1715, 20.1427, 12.3931, -4.97327, 14089, 1684951307, 817746, 1503, 0, 255, 0, 49169, FIRST_ECHO, 880, 1629, 0, 33, 112, 1260
10.10.10.66, 1715, 19.4523, 7.85525, -4.99046, 14220, 1684951307, 817746, 1392, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1501, 0, 32, 102, 1310
10.10.10.66, 1715, 18.8447, 3.32316, -4.99619, 14348, 1684951307, 817746, 992, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1373, 0, 32, 92, 1280
10.10.10.66, 1715, 18.6256, -1.2777, -5.00192, 14476, 1684951307, 817746, 791, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1245, 0, 31, 81, 1280
10.10.10.66, 1715, 18.3503, -12.0894, -4.97327, 14782, 1684951307, 817746, 748, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 941, 0, 31, 56, 3060
10.10.10.66, 1715, 18.2479, -16.5642, -4.95036, 14917, 1684951307, 817746, 780, 0, 255, 0, 49169, FIRST_ECHO, 880, 813, 0, 31, 47, 1350
10.10.10.66, 1715, 18.2309, -20.6666, -4.91598, 15048, 1684951307, 817746, 467, 0, 255, 0, 49169, FIRST_ECHO, 880, 693, 0, 31, 39, 1310
10.10.10.66, 1715, 18.2371, -24.4538, -4.88733, 15177, 1684951307, 817746, 588, 0, 255, 0, 49169, FIRST_ECHO, 880, 581, 0, 31, 32, 1290
10.10.10.66, 1715, 9.89555, -42.5249, -4.63523, 16169, 1684951307, 817746, 220, 0, 255, 0, 49169, FIRST_ECHO, 880, 29, 0, 30, 2, 5010
10.10.10.66, 1715, 18.182, -23.646, -4.89306, 17734, 1684951307, 817746, 566, 0, 255, 0, 49169, FIRST_ECHO, 880, 605, 0, 31, 33, 4019
10.10.10.66, 1715, 18.1769, -19.8415, -4.92744, 17861, 1684951307, 817746, 665, 0, 255, 0, 49169, FIRST_ECHO, 880, 717, 0, 31, 40, 1270
10.10.10.66, 1715, 18.22, -15.7277, -4.95608, 17991, 1684951307, 817746, 802, 0, 255, 0, 49169, FIRST_ECHO, 880, 837, 0, 31, 49, 1300
10.10.10.66, 1715, 18.3268, -11.2357, -4.979, 18124, 1684951307, 817746, 701, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 965, 0, 31, 58, 1330
10.10.10.66, 1715, 18.3785, -6.73798, -4.99046, 18254, 1684951307, 817746, 862, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1093, 0, 31, 68, 1300
10.10.10.66, 1715, 18.909, 4.18832, -4.99619, 18558, 1684951307, 817746, 1896, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1397, 0, 32, 94, 3040
10.10.10.66, 1715, 19.4821, 8.71469, -4.98473, 18686, 1684951307, 817746, 1697, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1525, 0, 32, 104, 1280
10.10.10.66, 1715, 20.2682, 13.2411, -4.96754, 18817, 1684951307, 817746, 2277, 0, 255, 0, 49169, FIRST_ECHO, 880, 1653, 0, 33, 114, 1310
10.10.10.66, 1715, 15.8582, 17.4007, -4.94463, 18944, 1684951307, 817746, 1385, 0, 255, 0, 49169, FIRST_ECHO, 880, 1773, 0, 33, 122, 1270
10.10.10.66, 1715, 19.4976, 25.5024, -4.87587, 19217, 1684951307, 817746, 4979, 0, 255, 0, 49169, FIRST_ECHO, 880, 2013, 0, 34, 137, 2730
10.10.10.66, 1715, 18.365, 28.9286, -4.83576, 19348, 1684951307, 817746, 10920, 0, 255, 0, 49169, FIRST_ECHO, 880, 2117, 0, 34, 143, 1310
10.10.10.66, 1715, 16.7971, 32.0914, -4.79566, 19481, 1684951307, 817746, 13756, 0, 255, 0, 49169, FIRST_ECHO, 880, 2213, 0, 34, 149, 1330
10.10.10.66, 1715, 14.0138, 42.0035, -4.64096, 20110, 1684951307, 817746, 2681, 0, 255, 0, 49169, FIRST_ECHO, 880, 2517, 0, 35, 164, 6290
10.10.10.66, 1715, 14.3587, 41.7171, -4.64669, 20802, 1684951307, 817746, 6195, 0, 255, 0, 49265, FIRST_ECHO, 880, 2509, 0, 35, 163, 6920
10.10.10.66, 1715, 16.4222, 32.8763, -4.7842, 21366, 1684951307, 817746, 6801, 0, 255, 0, 49169, FIRST_ECHO, 880, 2237, 0, 34, 150, 5640
