Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.48, 42731, 3.45628, 65.0307, -8.47405, 478, 0, 255, 0, 49265, FIRST_ECHO, 1078, 2498, 0, 28, 162, 5210
10.10.10.48, 42731, 3.56162, 62.4409, -8.55426, 186, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2463, 0, 28, 161, 1010
10.10.10.48, 42731, 3.3946, 60.0116, -8.63447, 308, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2428, 0, 28, 159, 840
10.10.10.48, 42731, 3.44865, 57.2729, -8.72615, 81, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2386, 0, 27, 157, 889
10.10.10.48, 42731, 3.59962, 54.2362, -8.82928, 1009, 0, 255, 0, 49393, FIRST_ECHO, 1078, 2337, 0, 27, 154, 910
10.10.10.48, 42731, 3.70056, 50.999, -8.94387, 434, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2281, 0, 27, 151, 940
10.10.10.48, 42731, 3.7493, 47.9909, -9.05273, 468, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2225, 0, 27, 148, 860
10.10.10.48, 42731, 3.92588, 44.7251, -9.16732, 496, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2162, 0, 27, 145, 889
10.10.10.48, 42731, 5.07238, 41.5681, -9.27046, 175, 0, 255, 0, 49201, FIRST_ECHO, 1078, 2099, 0, 27, 141, 840
10.10.10.48, 42731, 5.04478, 38.1475, -9.38505, 1401, 0, 255, 0, 49169, FIRST_ECHO, 1078, 2029, 0, 27, 137, 880
10.10.10.48, 42731, 5.71133, 34.7212, -9.48245, 1493, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1959, 0, 27, 133, 840
10.10.10.48, 42731, 5.41381, 31.0085, -9.57985, 372, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1882, 0, 26, 128, 889
10.10.10.48, 42731, 6.51424, 27.2613, -9.67153, 3009, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1805, 0, 26, 123, 850
10.10.10.48, 42731, 7.08749, 23.0616, -9.75174, 1792, 0, 255, 0, 49169, FIRST_ECHO, 1078, 1721, 0, 26, 117, 900
10.10.10.48, 42731, 10.5559, 18.7873, -9.8205, 822, 0, 255, 0, 49201, FIRST_ECHO, 1078, 1637, 0, 26, 111, 880
